belief,policy,budget,room_change_cost,day_index,n,task_accuracy,belief_accuracy,senses_per_question,cost_per_question
LastObservation,NeverSense,90,1,14,900,0.546667,0.541513,0.0,0.0
LastObservation,NeverSense,90,1,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,90,1,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,90,1,17,900,0.546667,0.547911,0.0,0.0
LastObservation,NeverSense,90,1,18,900,0.534444,0.526432,0.0,0.0
LastObservation,NeverSense,90,1,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,90,1,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,90,1,21,900,0.556667,0.540394,0.0,0.0
LastObservation,NeverSense,90,1,22,900,0.548889,0.540012,0.0,0.0
LastObservation,NeverSense,90,1,23,900,0.55,0.544072,0.0,0.0
LastObservation,NeverSense,90,1,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,90,1,25,900,0.512222,0.509894,0.0,0.0
LastObservation,NeverSense,90,1,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,90,1,27,900,0.666667,0.691408,0.0,0.0
LastObservation,NeverSense,90,2,3,900,0.604444,0.601261,0.0,0.0
LastObservation,NeverSense,90,2,4,900,0.547778,0.530503,0.0,0.0
LastObservation,NeverSense,90,2,5,900,0.633333,0.627009,0.0,0.0
LastObservation,NeverSense,90,2,6,900,0.697778,0.69291,0.0,0.0
LastObservation,NeverSense,90,2,7,900,0.551111,0.543933,0.0,0.0
LastObservation,NeverSense,90,2,8,900,0.562222,0.553914,0.0,0.0
LastObservation,NeverSense,90,2,9,900,0.574444,0.565491,0.0,0.0
LastObservation,NeverSense,90,2,10,900,0.565556,0.559114,0.0,0.0
LastObservation,NeverSense,90,2,11,900,0.571111,0.554556,0.0,0.0
LastObservation,NeverSense,90,2,12,900,0.67,0.662381,0.0,0.0
LastObservation,NeverSense,90,2,13,900,0.703333,0.701514,0.0,0.0
LastObservation,NeverSense,90,2,14,900,0.546667,0.541513,0.0,0.0
LastObservation,NeverSense,90,2,15,900,0.521111,0.531061,0.0,0.0
LastObservation,NeverSense,90,2,16,900,0.524444,0.521049,0.0,0.0
LastObservation,NeverSense,90,2,17,900,0.546667,0.547911,0.0,0.0
LastObservation,NeverSense,90,2,18,900,0.534444,0.526432,0.0,0.0
LastObservation,NeverSense,90,2,19,900,0.641111,0.640301,0.0,0.0
LastObservation,NeverSense,90,2,20,900,0.71,0.692163,0.0,0.0
LastObservation,NeverSense,90,2,21,900,0.556667,0.540394,0.0,0.0
LastObservation,NeverSense,90,2,22,900,0.548889,0.540012,0.0,0.0
LastObservation,NeverSense,90,2,23,900,0.55,0.544072,0.0,0.0
LastObservation,NeverSense,90,2,24,900,0.521111,0.537295,0.0,0.0
LastObservation,NeverSense,90,2,25,900,0.512222,0.509894,0.0,0.0
LastObservation,NeverSense,90,2,26,900,0.611111,0.626421,0.0,0.0
LastObservation,NeverSense,90,2,27,900,0.666667,0.691408,0.0,0.0
LastObservation,ResolvableMassSense_best,24,0,3,900,0.655556,0.628142,0.26,0.26
LastObservation,ResolvableMassSense_best,24,0,4,900,0.642222,0.563445,0.264444,0.264444
LastObservation,ResolvableMassSense_best,24,0,5,900,0.685556,0.662569,0.208889,0.208889
LastObservation,ResolvableMassSense_best,24,0,6,900,0.75,0.734946,0.223333,0.223333
LastObservation,ResolvableMassSense_best,24,0,7,900,0.615556,0.578139,0.245556,0.245556
LastObservation,ResolvableMassSense_best,24,0,8,900,0.635556,0.594442,0.266667,0.266667
LastObservation,ResolvableMassSense_best,24,0,9,900,0.632222,0.604737,0.227778,0.227778
LastObservation,ResolvableMassSense_best,24,0,10,900,0.623333,0.594829,0.266667,0.266667
LastObservation,ResolvableMassSense_best,24,0,11,900,0.648889,0.602927,0.25,0.25
LastObservation,ResolvableMassSense_best,24,0,12,900,0.742222,0.719812,0.195556,0.195556
LastObservation,ResolvableMassSense_best,24,0,13,900,0.751111,0.744367,0.232222,0.232222
LastObservation,ResolvableMassSense_best,24,0,14,900,0.632222,0.583868,0.247778,0.247778
LastObservation,ResolvableMassSense_best,24,0,15,900,0.596667,0.573759,0.231111,0.231111
LastObservation,ResolvableMassSense_best,24,0,16,900,0.614444,0.568221,0.266667,0.266667
LastObservation,ResolvableMassSense_best,24,0,17,900,0.616667,0.575688,0.24,0.24
LastObservation,ResolvableMassSense_best,24,0,18,900,0.603333,0.551896,0.241111,0.241111
LastObservation,ResolvableMassSense_best,24,0,19,900,0.694444,0.67531,0.223333,0.223333
LastObservation,ResolvableMassSense_best,24,0,20,900,0.762222,0.731331,0.186667,0.186667
LastObservation,ResolvableMassSense_best,24,0,21,900,0.635556,0.572344,0.266667,0.266667
LastObservation,ResolvableMassSense_best,24,0,22,900,0.614444,0.582982,0.23,0.23
LastObservation,ResolvableMassSense_best,24,0,23,900,0.621111,0.572994,0.266667,0.266667
LastObservation,ResolvableMassSense_best,24,0,24,900,0.588889,0.573609,0.24,0.24
LastObservation,ResolvableMassSense_best,24,0,25,900,0.611111,0.560216,0.256667,0.256667
LastObservation,ResolvableMassSense_best,24,0,26,900,0.665556,0.669545,0.25,0.25
LastObservation,ResolvableMassSense_best,24,0,27,900,0.738889,0.738131,0.198889,0.198889
LastObservation,ResolvableMassSense_best,24,0.25,3,900,0.645556,0.624229,0.232222,0.2575
LastObservation,ResolvableMassSense_best,24,0.25,4,900,0.627778,0.557605,0.232222,0.263333
LastObservation,ResolvableMassSense_best,24,0.25,5,900,0.682222,0.659693,0.2,0.225278
LastObservation,ResolvableMassSense_best,24,0.25,6,900,0.733333,0.728182,0.198889,0.224444
LastObservation,ResolvableMassSense_best,24,0.25,7,900,0.602222,0.567398,0.217778,0.246389
LastObservation,ResolvableMassSense_best,24,0.25,8,900,0.616667,0.58268,0.235556,0.262778
LastObservation,ResolvableMassSense_best,24,0.25,9,900,0.618889,0.595367,0.211111,0.236667
LastObservation,ResolvableMassSense_best,24,0.25,10,900,0.606667,0.588078,0.232222,0.265
LastObservation,ResolvableMassSense_best,24,0.25,11,900,0.622222,0.585962,0.198889,0.226389
LastObservation,ResolvableMassSense_best,24,0.25,12,900,0.725556,0.711261,0.185556,0.213333
LastObservation,ResolvableMassSense_best,24,0.25,13,900,0.754444,0.745565,0.212222,0.236389
LastObservation,ResolvableMassSense_best,24,0.25,14,900,0.635556,0.58162,0.226667,0.25
LastObservation,ResolvableMassSense_best,24,0.25,15,900,0.58,0.568935,0.208889,0.237222
LastObservation,ResolvableMassSense_best,24,0.25,16,900,0.601111,0.557785,0.235556,0.263056
LastObservation,ResolvableMassSense_best,24,0.25,17,900,0.601111,0.571514,0.206667,0.235556
LastObservation,ResolvableMassSense_best,24,0.25,18,900,0.594444,0.551298,0.21,0.236667
LastObservation,ResolvableMassSense_best,24,0.25,19,900,0.682222,0.667261,0.197778,0.2225
LastObservation,ResolvableMassSense_best,24,0.25,20,900,0.753333,0.732973,0.177778,0.201667
LastObservation,ResolvableMassSense_best,24,0.25,21,900,0.617778,0.57105,0.23,0.262222
LastObservation,ResolvableMassSense_best,24,0.25,22,900,0.614444,0.576762,0.203333,0.229167
LastObservation,ResolvableMassSense_best,24,0.25,23,900,0.603333,0.575001,0.233333,0.261944
LastObservation,ResolvableMassSense_best,24,0.25,24,900,0.577778,0.570235,0.213333,0.240556
LastObservation,ResolvableMassSense_best,24,0.25,25,900,0.616667,0.560082,0.232222,0.263611
LastObservation,ResolvableMassSense_best,24,0.25,26,900,0.668889,0.666597,0.212222,0.2425
LastObservation,ResolvableMassSense_best,24,0.25,27,900,0.735556,0.728449,0.185556,0.211667
LastObservation,ResolvableMassSense_best,24,0.5,3,900,0.631111,0.616919,0.214444,0.261111
LastObservation,ResolvableMassSense_best,24,0.5,4,900,0.621111,0.54961,0.203333,0.255
LastObservation,ResolvableMassSense_best,24,0.5,5,900,0.68,0.665705,0.187778,0.235
LastObservation,ResolvableMassSense_best,24,0.5,6,900,0.741111,0.734425,0.188889,0.236667
LastObservation,ResolvableMassSense_best,24,0.5,7,900,0.594444,0.569555,0.2,0.250556
LastObservation,ResolvableMassSense_best,24,0.5,8,900,0.607778,0.583438,0.214444,0.262778
LastObservation,ResolvableMassSense_best,24,0.5,9,900,0.608889,0.595117,0.196667,0.243889
LastObservation,ResolvableMassSense_best,24,0.5,10,900,0.614444,0.583669,0.208889,0.261111
LastObservation,ResolvableMassSense_best,24,0.5,11,900,0.626667,0.584875,0.195556,0.243333
LastObservation,ResolvableMassSense_best,24,0.5,12,900,0.721111,0.70468,0.158889,0.203333
LastObservation,ResolvableMassSense_best,24,0.5,13,900,0.733333,0.724958,0.176667,0.225
LastObservation,ResolvableMassSense_best,24,0.5,14,900,0.618889,0.57902,0.201111,0.252778
LastObservation,ResolvableMassSense_best,24,0.5,15,900,0.564444,0.562021,0.187778,0.240556
LastObservation,ResolvableMassSense_best,24,0.5,16,900,0.602222,0.559273,0.214444,0.263333
LastObservation,ResolvableMassSense_best,24,0.5,17,900,0.603333,0.569921,0.191111,0.237778
LastObservation,ResolvableMassSense_best,24,0.5,18,900,0.581111,0.544388,0.195556,0.241667
LastObservation,ResolvableMassSense_best,24,0.5,19,900,0.681111,0.667767,0.182222,0.227778
LastObservation,ResolvableMassSense_best,24,0.5,20,900,0.753333,0.727324,0.157778,0.201111
LastObservation,ResolvableMassSense_best,24,0.5,21,900,0.617778,0.568257,0.211111,0.265556
LastObservation,ResolvableMassSense_best,24,0.5,22,900,0.603333,0.568126,0.184444,0.23
LastObservation,ResolvableMassSense_best,24,0.5,23,900,0.596667,0.56801,0.212222,0.265
LastObservation,ResolvableMassSense_best,24,0.5,24,900,0.567778,0.564919,0.195556,0.244444
LastObservation,ResolvableMassSense_best,24,0.5,25,900,0.582222,0.546288,0.202222,0.250556
LastObservation,ResolvableMassSense_best,24,0.5,26,900,0.655556,0.658903,0.198889,0.252778
LastObservation,ResolvableMassSense_best,24,0.5,27,900,0.725556,0.726405,0.157778,0.205556
LastObservation,ResolvableMassSense_best,24,1,3,900,0.631111,0.615413,0.186667,0.265556
LastObservation,ResolvableMassSense_best,24,1,4,900,0.6,0.542118,0.176667,0.264444
LastObservation,ResolvableMassSense_best,24,1,5,900,0.677778,0.659574,0.155556,0.233333
LastObservation,ResolvableMassSense_best,24,1,6,900,0.734444,0.722442,0.143333,0.221111
LastObservation,ResolvableMassSense_best,24,1,7,900,0.586667,0.566712,0.171111,0.253333
LastObservation,ResolvableMassSense_best,24,1,8,900,0.598889,0.579985,0.186667,0.266667
LastObservation,ResolvableMassSense_best,24,1,9,900,0.611111,0.587522,0.17,0.251111
LastObservation,ResolvableMassSense_best,24,1,10,900,0.6,0.585174,0.17,0.253333
LastObservation,ResolvableMassSense_best,24,1,11,900,0.63,0.591109,0.173333,0.254444
LastObservation,ResolvableMassSense_best,24,1,12,900,0.721111,0.703308,0.156667,0.235556
LastObservation,ResolvableMassSense_best,24,1,13,900,0.732222,0.729048,0.16,0.24
LastObservation,ResolvableMassSense_best,24,1,14,900,0.607778,0.575061,0.185556,0.258889
