belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
PerpetuaStar,24,SequentialSearch,SequentialSearch,False,1,0.585156,-0.015555,0.159156,-0.107511,0.266667,0.32449,0.034622
PerpetuaStar,24,SequentialSearch,SequentialSearch,False,2,0.573733,-0.026978,0.119822,-0.146845,0.266667,0.38724,0.084756
PerpetuaStar,24,ResolvableMassSense,ResolvableMassSense_best,False,0,0.616978,0.0,0.266178,0.0,0.266178,0.350643,0.0
PerpetuaStar,24,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.611911,-0.005067,0.225911,-0.040267,0.262533,0.351564,0.180089
PerpetuaStar,24,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.605511,-0.011467,0.199156,-0.067022,0.263933,0.349476,0.134222
PerpetuaStar,24,ResolvableMassSense,ResolvableMassSense_best,False,1,0.592889,-0.024089,0.163378,-0.1028,0.265644,0.374048,0.056622
PerpetuaStar,24,ResolvableMassSense,ResolvableMassSense_best,False,2,0.5856,-0.031378,0.120844,-0.145334,0.264578,0.405296,0.106044
PerpetuaStar,24,VoIThresholdSense,VoIThresholdSense_lambda0.2,True,0,0.631111,0.0,0.260578,0.0,0.260578,0.341634,0.0
PerpetuaStar,24,VoIThresholdSense,VoIThresholdSense_lambda0.2,True,0.25,0.629867,-0.001244,0.225822,-0.034756,0.251889,0.53828,0.0456
PerpetuaStar,24,VoIThresholdSense,VoIThresholdSense_lambda0.2,True,0.5,0.628133,-0.002978,0.200667,-0.059911,0.241333,0.594684,0.014222
PerpetuaStar,24,VoIThresholdSense,VoIThresholdSense_lambda0.2,True,1,0.595111,-0.036,0.131556,-0.129022,0.168711,0.717568,0.000222
PerpetuaStar,24,VoIThresholdSense,VoIThresholdSense_lambda0.2,True,2,0.562356,-0.068755,0.064444,-0.196134,0.064444,1.0,0.0
PerpetuaStar,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.01,True,0,0.623067,0.0,0.262711,0.0,0.262711,0.341059,0.0
PerpetuaStar,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.01,True,0.25,0.621289,-0.001778,0.210444,-0.052267,0.234722,0.538543,0.050356
PerpetuaStar,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.01,True,0.5,0.611556,-0.011511,0.197244,-0.065467,0.237622,0.590581,0.066533
PerpetuaStar,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.01,True,1,0.5896,-0.033467,0.187156,-0.075555,0.266222,0.577535,0.017156
PerpetuaStar,24,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.01,True,2,0.582311,-0.040756,0.150222,-0.112489,0.266667,0.612426,0.0332
PerpetuaStar,90,NeverSense,NeverSense,False,0,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,90,NeverSense,NeverSense,False,0.25,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,90,NeverSense,NeverSense,False,0.5,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,90,NeverSense,NeverSense,False,1,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,90,NeverSense,NeverSense,False,2,0.531778,0.0,0.0,0.0,0.0,,0.0
PerpetuaStar,90,SequentialSearch,SequentialSearch,False,0,0.644133,0.0,1.0,0.0,1.0,0.221156,0.0
PerpetuaStar,90,SequentialSearch,SequentialSearch,False,0.25,0.634178,-0.009955,0.8348,-0.1652,0.996278,0.226268,0.525333
PerpetuaStar,90,SequentialSearch,SequentialSearch,False,0.5,0.631067,-0.013066,0.721733,-0.278267,0.998,0.234436,0.309378
PerpetuaStar,90,SequentialSearch,SequentialSearch,False,1,0.624044,-0.020089,0.570222,-0.429778,1.0,0.246298,0.053244
PerpetuaStar,90,SequentialSearch,SequentialSearch,False,2,0.612978,-0.031155,0.407378,-0.592622,1.0,0.272638,0.094578
PerpetuaStar,90,ResolvableMassSense,ResolvableMassSense_best,False,0,0.680578,0.0,0.990356,0.0,0.990356,0.381143,0.0
