budget,belief,policy,day_index,n_questions,task_accuracy,belief_accuracy
1,most_frequent,sequential_search,27,90,0.3,0.33398692810457514
1,timetable,sequential_search,3,90,0.05555555555555555,0.058823529411764705
1,timetable,sequential_search,4,90,0.1,0.08300653594771241
1,timetable,sequential_search,5,90,0.15555555555555556,0.11895424836601307
1,timetable,sequential_search,6,90,0.18888888888888888,0.1261437908496732
1,timetable,sequential_search,7,90,0.2222222222222222,0.19150326797385622
1,timetable,sequential_search,8,90,0.16666666666666666,0.14967320261437908
1,timetable,sequential_search,9,90,0.35555555555555557,0.3156862745098039
1,timetable,sequential_search,10,90,0.2777777777777778,0.265359477124183
1,timetable,sequential_search,11,90,0.25555555555555554,0.2823529411764706
1,timetable,sequential_search,12,90,0.2111111111111111,0.22287581699346407
1,timetable,sequential_search,13,90,0.32222222222222224,0.30392156862745096
1,timetable,sequential_search,14,90,0.35555555555555557,0.3915032679738562
1,timetable,sequential_search,15,90,0.34444444444444444,0.32679738562091504
1,timetable,sequential_search,16,90,0.28888888888888886,0.27320261437908494
1,timetable,sequential_search,17,90,0.3111111111111111,0.3137254901960784
1,timetable,sequential_search,18,90,0.25555555555555554,0.25947712418300656
1,timetable,sequential_search,19,90,0.3,0.2718954248366013
1,timetable,sequential_search,20,90,0.25555555555555554,0.2647058823529412
1,timetable,sequential_search,21,90,0.26666666666666666,0.28431372549019607
1,timetable,sequential_search,22,90,0.2,0.16797385620915034
1,timetable,sequential_search,23,90,0.2111111111111111,0.19934640522875818
1,timetable,sequential_search,24,90,0.4,0.4294117647058823
1,timetable,sequential_search,25,90,0.4222222222222222,0.42483660130718953
1,timetable,sequential_search,26,90,0.32222222222222224,0.34967320261437906
1,timetable,sequential_search,27,90,0.4222222222222222,0.396078431372549
4,last_observation,sequential_search,3,90,0.2222222222222222,0.22287581699346407
4,last_observation,sequential_search,4,90,0.4777777777777778,0.4777777777777778
4,last_observation,sequential_search,5,90,0.4666666666666667,0.45816993464052286
4,last_observation,sequential_search,6,90,0.4666666666666667,0.42549019607843136
4,last_observation,sequential_search,7,90,0.43333333333333335,0.42745098039215684
4,last_observation,sequential_search,8,90,0.4888888888888889,0.4830065359477124
4,last_observation,sequential_search,9,90,0.6444444444444445,0.6084967320261437
4,last_observation,sequential_search,10,90,0.4444444444444444,0.47058823529411764
4,last_observation,sequential_search,11,90,0.5111111111111111,0.526797385620915
4,last_observation,sequential_search,12,90,0.4444444444444444,0.43333333333333335
4,last_observation,sequential_search,13,90,0.5,0.5163398692810458
4,last_observation,sequential_search,14,90,0.4777777777777778,0.4830065359477124
4,last_observation,sequential_search,15,90,0.5888888888888889,0.5679738562091503
4,last_observation,sequential_search,16,90,0.7,0.7026143790849673
4,last_observation,sequential_search,17,90,0.5222222222222223,0.5183006535947713
4,last_observation,sequential_search,18,90,0.6222222222222222,0.6450980392156863
4,last_observation,sequential_search,19,90,0.6777777777777778,0.6385620915032679
4,last_observation,sequential_search,20,90,0.7666666666666667,0.7418300653594772
4,last_observation,sequential_search,21,90,0.6444444444444445,0.6549019607843137
4,last_observation,sequential_search,22,90,0.4,0.39215686274509803
4,last_observation,sequential_search,23,90,0.5888888888888889,0.5594771241830065
4,last_observation,sequential_search,24,90,0.6111111111111112,0.6542483660130719
4,last_observation,sequential_search,25,90,0.5444444444444444,0.5751633986928104
4,last_observation,sequential_search,26,90,0.4777777777777778,0.4875816993464052
4,last_observation,sequential_search,27,90,0.5333333333333333,0.5751633986928104
4,most_frequent,sequential_search,3,90,0.15555555555555556,0.134640522875817
4,most_frequent,sequential_search,4,90,0.23333333333333334,0.2849673202614379
4,most_frequent,sequential_search,5,90,0.3333333333333333,0.36797385620915035
4,most_frequent,sequential_search,6,90,0.6777777777777778,0.6477124183006536
4,most_frequent,sequential_search,7,90,0.45555555555555555,0.4477124183006536
4,most_frequent,sequential_search,8,90,0.4666666666666667,0.44248366013071894
4,most_frequent,sequential_search,9,90,0.4111111111111111,0.373202614379085
4,most_frequent,sequential_search,10,90,0.4666666666666667,0.4627450980392157
4,most_frequent,sequential_search,11,90,0.35555555555555557,0.369281045751634
4,most_frequent,sequential_search,12,90,0.3333333333333333,0.3411764705882353
4,most_frequent,sequential_search,13,90,0.6333333333333333,0.6248366013071895
4,most_frequent,sequential_search,14,90,0.2777777777777778,0.30130718954248364
4,most_frequent,sequential_search,15,90,0.34444444444444444,0.36470588235294116
4,most_frequent,sequential_search,16,90,0.4111111111111111,0.4143790849673203
4,most_frequent,sequential_search,17,90,0.5888888888888889,0.6202614379084967
4,most_frequent,sequential_search,18,90,0.4777777777777778,0.4849673202614379
4,most_frequent,sequential_search,19,90,0.6888888888888889,0.6784313725490196
4,most_frequent,sequential_search,20,90,0.7,0.6934640522875817
4,most_frequent,sequential_search,21,90,0.7333333333333333,0.7372549019607844
4,most_frequent,sequential_search,22,90,0.4,0.38496732026143793
4,most_frequent,sequential_search,23,90,0.5777777777777777,0.6052287581699346
4,most_frequent,sequential_search,24,90,0.6333333333333333,0.6052287581699346
4,most_frequent,sequential_search,25,90,0.5111111111111111,0.5928104575163399
4,most_frequent,sequential_search,26,90,0.5,0.47843137254901963
4,most_frequent,sequential_search,27,90,0.3,0.373202614379085
4,timetable,sequential_search,3,90,0.2777777777777778,0.26209150326797387
4,timetable,sequential_search,4,90,0.5555555555555556,0.5477124183006536
4,timetable,sequential_search,5,90,0.37777777777777777,0.38496732026143793
4,timetable,sequential_search,6,90,0.5333333333333333,0.4764705882352941
4,timetable,sequential_search,7,90,0.5111111111111111,0.503921568627451
4,timetable,sequential_search,8,90,0.5555555555555556,0.5601307189542484
4,timetable,sequential_search,9,90,0.6666666666666666,0.6385620915032679
4,timetable,sequential_search,10,90,0.6222222222222222,0.5986928104575163
4,timetable,sequential_search,11,90,0.6777777777777778,0.64640522875817
4,timetable,sequential_search,12,90,0.4888888888888889,0.5241830065359477
4,timetable,sequential_search,13,90,0.5222222222222223,0.5431372549019607
4,timetable,sequential_search,14,90,0.6,0.6019607843137255
4,timetable,sequential_search,15,90,0.6111111111111112,0.5941176470588235
4,timetable,sequential_search,16,90,0.6777777777777778,0.6725490196078432
4,timetable,sequential_search,17,90,0.4444444444444444,0.4411764705882353
4,timetable,sequential_search,18,90,0.6444444444444445,0.6692810457516339
4,timetable,sequential_search,19,90,0.7333333333333333,0.7176470588235294
4,timetable,sequential_search,20,90,0.7777777777777778,0.742483660130719
4,timetable,sequential_search,21,90,0.6555555555555556,0.6581699346405229
4,timetable,sequential_search,22,90,0.4666666666666667,0.4477124183006536
4,timetable,sequential_search,23,90,0.5666666666666667,0.5790849673202615
4,timetable,sequential_search,24,90,0.6555555555555556,0.615686274509804
4,timetable,sequential_search,25,90,0.5111111111111111,0.5928104575163399
4,timetable,sequential_search,26,90,0.5888888888888889,0.5718954248366013
4,timetable,sequential_search,27,90,0.4777777777777778,0.530718954248366
16,last_observation,sequential_search,3,90,0.6333333333333333,0.6045751633986928
16,last_observation,sequential_search,4,90,0.8111111111111111,0.7843137254901961
16,last_observation,sequential_search,5,90,0.6555555555555556,0.6496732026143791
16,last_observation,sequential_search,6,90,0.9555555555555556,0.9411764705882353
16,last_observation,sequential_search,7,90,0.7333333333333333,0.742483660130719
16,last_observation,sequential_search,8,90,0.6555555555555556,0.6522875816993464
16,last_observation,sequential_search,9,90,0.6888888888888889,0.6777777777777778
16,last_observation,sequential_search,10,90,0.8222222222222222,0.8163398692810457
16,last_observation,sequential_search,11,90,0.7111111111111111,0.6836601307189543
16,last_observation,sequential_search,12,90,0.6111111111111112,0.5947712418300654
16,last_observation,sequential_search,13,90,0.8666666666666667,0.8607843137254902
16,last_observation,sequential_search,14,90,0.8888888888888888,0.9098039215686274
16,last_observation,sequential_search,15,90,0.8333333333333334,0.8496732026143791
16,last_observation,sequential_search,16,90,0.8888888888888888,0.8725490196078431
16,last_observation,sequential_search,17,90,0.7777777777777778,0.7934640522875817
16,last_observation,sequential_search,18,90,0.7555555555555555,0.6901960784313725
16,last_observation,sequential_search,19,90,0.9222222222222223,0.8555555555555555
16,last_observation,sequential_search,20,90,0.8777777777777778,0.857516339869281
16,last_observation,sequential_search,21,90,0.8222222222222222,0.8254901960784313
16,last_observation,sequential_search,22,90,0.6666666666666666,0.6607843137254902
16,last_observation,sequential_search,23,90,0.7666666666666667,0.7450980392156863
16,last_observation,sequential_search,24,90,0.7888888888888889,0.8091503267973856
16,last_observation,sequential_search,25,90,0.7222222222222222,0.7392156862745098
16,last_observation,sequential_search,26,90,0.7888888888888889,0.7274509803921568
16,last_observation,sequential_search,27,90,0.7111111111111111,0.7483660130718954
16,most_frequent,sequential_search,3,90,0.7222222222222222,0.738562091503268
