belief,policy,budget,day_index,n,task_accuracy,belief_accuracy,senses_per_question
LastObservation,SequentialSearch,90,22,900,0.663333,0.619705,1.0
LastObservation,SequentialSearch,90,23,900,0.652222,0.624478,1.0
LastObservation,SequentialSearch,90,24,900,0.651111,0.622011,1.0
LastObservation,SequentialSearch,90,25,900,0.641111,0.608697,1.0
LastObservation,SequentialSearch,90,26,900,0.752222,0.719229,1.0
LastObservation,SequentialSearch,90,27,900,0.782222,0.757556,1.0
LastObservation,VoIBudgetPriceSense_gamma0.01,24,3,900,0.638889,0.625668,0.254444
LastObservation,VoIBudgetPriceSense_gamma0.01,24,4,900,0.557778,0.543144,0.064444
LastObservation,VoIBudgetPriceSense_gamma0.01,24,5,900,0.682222,0.663412,0.178889
LastObservation,VoIBudgetPriceSense_gamma0.01,24,6,900,0.765556,0.760978,0.26
LastObservation,VoIBudgetPriceSense_gamma0.01,24,7,900,0.606667,0.590542,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,8,900,0.636667,0.60644,0.265556
LastObservation,VoIBudgetPriceSense_gamma0.01,24,9,900,0.638889,0.62066,0.26
LastObservation,VoIBudgetPriceSense_gamma0.01,24,10,900,0.635556,0.611331,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,11,900,0.643333,0.608519,0.26
LastObservation,VoIBudgetPriceSense_gamma0.01,24,12,900,0.745556,0.731391,0.237778
LastObservation,VoIBudgetPriceSense_gamma0.01,24,13,900,0.764444,0.741348,0.251111
LastObservation,VoIBudgetPriceSense_gamma0.01,24,14,900,0.616667,0.590433,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,15,900,0.6,0.587256,0.25
LastObservation,VoIBudgetPriceSense_gamma0.01,24,16,900,0.602222,0.579686,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,17,900,0.608889,0.579632,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,18,900,0.597778,0.581407,0.241111
LastObservation,VoIBudgetPriceSense_gamma0.01,24,19,900,0.704444,0.690767,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,20,900,0.772222,0.743486,0.251111
LastObservation,VoIBudgetPriceSense_gamma0.01,24,21,900,0.594444,0.570011,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,22,900,0.608889,0.587735,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,23,900,0.607778,0.589356,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,24,900,0.597778,0.592831,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,25,900,0.586667,0.570528,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,26,900,0.698889,0.692651,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.01,24,27,900,0.733333,0.73535,0.228889
LastObservation,VoIBudgetPriceSense_gamma0.01,90,3,900,0.714444,0.677184,0.723333
LastObservation,VoIBudgetPriceSense_gamma0.01,90,4,900,0.642222,0.606472,0.751111
LastObservation,VoIBudgetPriceSense_gamma0.01,90,5,900,0.773333,0.729961,0.582222
LastObservation,VoIBudgetPriceSense_gamma0.01,90,6,900,0.811111,0.789721,0.577778
LastObservation,VoIBudgetPriceSense_gamma0.01,90,7,900,0.652222,0.622565,0.956667
LastObservation,VoIBudgetPriceSense_gamma0.01,90,8,900,0.66,0.634633,0.968889
LastObservation,VoIBudgetPriceSense_gamma0.01,90,9,900,0.681111,0.641023,0.883333
LastObservation,VoIBudgetPriceSense_gamma0.01,90,10,900,0.66,0.623717,0.944444
LastObservation,VoIBudgetPriceSense_gamma0.01,90,11,900,0.677778,0.629534,0.888889
LastObservation,VoIBudgetPriceSense_gamma0.01,90,12,900,0.805556,0.77311,0.567778
LastObservation,VoIBudgetPriceSense_gamma0.01,90,13,900,0.82,0.802392,0.665556
LastObservation,VoIBudgetPriceSense_gamma0.01,90,14,900,0.656667,0.611433,0.964444
LastObservation,VoIBudgetPriceSense_gamma0.01,90,15,900,0.638889,0.62009,0.887778
LastObservation,VoIBudgetPriceSense_gamma0.01,90,16,900,0.647778,0.604884,1.0
LastObservation,VoIBudgetPriceSense_gamma0.01,90,17,900,0.666667,0.622985,0.958889
LastObservation,VoIBudgetPriceSense_gamma0.01,90,18,900,0.632222,0.599032,0.901111
LastObservation,VoIBudgetPriceSense_gamma0.01,90,19,900,0.76,0.729032,0.883333
LastObservation,VoIBudgetPriceSense_gamma0.01,90,20,900,0.832222,0.788591,0.466667
LastObservation,VoIBudgetPriceSense_gamma0.01,90,21,900,0.652222,0.614133,0.934444
LastObservation,VoIBudgetPriceSense_gamma0.01,90,22,900,0.675556,0.627054,0.935556
LastObservation,VoIBudgetPriceSense_gamma0.01,90,23,900,0.646667,0.619294,0.97
LastObservation,VoIBudgetPriceSense_gamma0.01,90,24,900,0.656667,0.633479,0.87
LastObservation,VoIBudgetPriceSense_gamma0.01,90,25,900,0.64,0.601851,0.927778
LastObservation,VoIBudgetPriceSense_gamma0.01,90,26,900,0.78,0.751169,0.78
LastObservation,VoIBudgetPriceSense_gamma0.01,90,27,900,0.815556,0.790508,0.64
LastObservation,VoIBudgetPriceSense_gamma0.05,24,3,900,0.64,0.631459,0.233333
LastObservation,VoIBudgetPriceSense_gamma0.05,24,4,900,0.544444,0.531257,0.08
LastObservation,VoIBudgetPriceSense_gamma0.05,24,5,900,0.685556,0.663003,0.247778
LastObservation,VoIBudgetPriceSense_gamma0.05,24,6,900,0.782222,0.762328,0.261111
LastObservation,VoIBudgetPriceSense_gamma0.05,24,7,900,0.613333,0.587569,0.254444
LastObservation,VoIBudgetPriceSense_gamma0.05,24,8,900,0.618889,0.604528,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,9,900,0.637778,0.617677,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,10,900,0.623333,0.600052,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,11,900,0.634444,0.604944,0.258889
LastObservation,VoIBudgetPriceSense_gamma0.05,24,12,900,0.743333,0.724558,0.238889
LastObservation,VoIBudgetPriceSense_gamma0.05,24,13,900,0.757778,0.736276,0.244444
LastObservation,VoIBudgetPriceSense_gamma0.05,24,14,900,0.614444,0.588804,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,15,900,0.594444,0.585171,0.248889
LastObservation,VoIBudgetPriceSense_gamma0.05,24,16,900,0.596667,0.577034,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,17,900,0.602222,0.575239,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,18,900,0.59,0.57395,0.241111
LastObservation,VoIBudgetPriceSense_gamma0.05,24,19,900,0.715556,0.696016,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,20,900,0.773333,0.740678,0.241111
LastObservation,VoIBudgetPriceSense_gamma0.05,24,21,900,0.592222,0.568919,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,22,900,0.607778,0.586191,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,23,900,0.615556,0.596248,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,24,900,0.596667,0.59607,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,25,900,0.597778,0.579968,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,26,900,0.702222,0.692832,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.05,24,27,900,0.738889,0.738783,0.228889
LastObservation,VoIBudgetPriceSense_gamma0.05,90,3,900,0.711111,0.681544,0.62
LastObservation,VoIBudgetPriceSense_gamma0.05,90,4,900,0.656667,0.608268,0.928889
LastObservation,VoIBudgetPriceSense_gamma0.05,90,5,900,0.78,0.739998,0.625556
LastObservation,VoIBudgetPriceSense_gamma0.05,90,6,900,0.808889,0.784481,0.57
LastObservation,VoIBudgetPriceSense_gamma0.05,90,7,900,0.654444,0.620693,0.913333
LastObservation,VoIBudgetPriceSense_gamma0.05,90,8,900,0.662222,0.634109,0.968889
LastObservation,VoIBudgetPriceSense_gamma0.05,90,9,900,0.681111,0.636701,0.841111
LastObservation,VoIBudgetPriceSense_gamma0.05,90,10,900,0.666667,0.627856,0.95
LastObservation,VoIBudgetPriceSense_gamma0.05,90,11,900,0.674444,0.632203,0.923333
LastObservation,VoIBudgetPriceSense_gamma0.05,90,12,900,0.818889,0.785805,0.575556
LastObservation,VoIBudgetPriceSense_gamma0.05,90,13,900,0.832222,0.815228,0.662222
LastObservation,VoIBudgetPriceSense_gamma0.05,90,14,900,0.647778,0.605541,0.955556
LastObservation,VoIBudgetPriceSense_gamma0.05,90,15,900,0.64,0.617615,0.912222
LastObservation,VoIBudgetPriceSense_gamma0.05,90,16,900,0.637778,0.603025,0.922222
LastObservation,VoIBudgetPriceSense_gamma0.05,90,17,900,0.661111,0.620369,0.864444
LastObservation,VoIBudgetPriceSense_gamma0.05,90,18,900,0.633333,0.598941,0.901111
LastObservation,VoIBudgetPriceSense_gamma0.05,90,19,900,0.761111,0.725247,0.845556
LastObservation,VoIBudgetPriceSense_gamma0.05,90,20,900,0.832222,0.787985,0.43
LastObservation,VoIBudgetPriceSense_gamma0.05,90,21,900,0.653333,0.613847,0.938889
LastObservation,VoIBudgetPriceSense_gamma0.05,90,22,900,0.678889,0.628736,0.936667
LastObservation,VoIBudgetPriceSense_gamma0.05,90,23,900,0.644444,0.620057,0.977778
LastObservation,VoIBudgetPriceSense_gamma0.05,90,24,900,0.655556,0.633535,0.87
LastObservation,VoIBudgetPriceSense_gamma0.05,90,25,900,0.651111,0.61053,0.948889
LastObservation,VoIBudgetPriceSense_gamma0.05,90,26,900,0.781111,0.745286,0.71
LastObservation,VoIBudgetPriceSense_gamma0.05,90,27,900,0.791111,0.777467,0.503333
LastObservation,VoIBudgetPriceSense_gamma0.1,24,3,900,0.644444,0.636783,0.225556
LastObservation,VoIBudgetPriceSense_gamma0.1,24,4,900,0.584444,0.556758,0.22
LastObservation,VoIBudgetPriceSense_gamma0.1,24,5,900,0.712222,0.688865,0.24
LastObservation,VoIBudgetPriceSense_gamma0.1,24,6,900,0.752222,0.744723,0.258889
LastObservation,VoIBudgetPriceSense_gamma0.1,24,7,900,0.606667,0.592156,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,8,900,0.615556,0.599116,0.236667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,9,900,0.642222,0.619035,0.26
LastObservation,VoIBudgetPriceSense_gamma0.1,24,10,900,0.627778,0.601122,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,11,900,0.624444,0.600515,0.234444
LastObservation,VoIBudgetPriceSense_gamma0.1,24,12,900,0.747778,0.731021,0.244444
LastObservation,VoIBudgetPriceSense_gamma0.1,24,13,900,0.756667,0.739882,0.25
LastObservation,VoIBudgetPriceSense_gamma0.1,24,14,900,0.613333,0.590435,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,15,900,0.597778,0.585121,0.246667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,16,900,0.594444,0.575745,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,17,900,0.606667,0.577003,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,18,900,0.598889,0.578113,0.241111
LastObservation,VoIBudgetPriceSense_gamma0.1,24,19,900,0.713333,0.699025,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,20,900,0.768889,0.735674,0.24
LastObservation,VoIBudgetPriceSense_gamma0.1,24,21,900,0.598889,0.56793,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,22,900,0.612222,0.588167,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,23,900,0.61,0.592811,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,24,900,0.588889,0.59237,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,25,900,0.596667,0.579401,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,26,900,0.693333,0.689151,0.266667
LastObservation,VoIBudgetPriceSense_gamma0.1,24,27,900,0.741111,0.738581,0.233333
LastObservation,VoIBudgetPriceSense_gamma0.1,90,3,900,0.712222,0.685883,0.785556
LastObservation,VoIBudgetPriceSense_gamma0.1,90,4,900,0.684444,0.629,0.804444
LastObservation,VoIBudgetPriceSense_gamma0.1,90,5,900,0.777778,0.740758,0.616667
LastObservation,VoIBudgetPriceSense_gamma0.1,90,6,900,0.817778,0.797845,0.574444
LastObservation,VoIBudgetPriceSense_gamma0.1,90,7,900,0.654444,0.625147,0.936667
LastObservation,VoIBudgetPriceSense_gamma0.1,90,8,900,0.665556,0.636253,0.991111
LastObservation,VoIBudgetPriceSense_gamma0.1,90,9,900,0.682222,0.63993,0.848889
LastObservation,VoIBudgetPriceSense_gamma0.1,90,10,900,0.667778,0.62616,0.947778
LastObservation,VoIBudgetPriceSense_gamma0.1,90,11,900,0.678889,0.632635,0.88
LastObservation,VoIBudgetPriceSense_gamma0.1,90,12,900,0.792222,0.763372,0.56
LastObservation,VoIBudgetPriceSense_gamma0.1,90,13,900,0.822222,0.795096,0.6
LastObservation,VoIBudgetPriceSense_gamma0.1,90,14,900,0.651111,0.610027,0.965556
LastObservation,VoIBudgetPriceSense_gamma0.1,90,15,900,0.64,0.615897,0.881111
LastObservation,VoIBudgetPriceSense_gamma0.1,90,16,900,0.647778,0.608313,1.0
LastObservation,VoIBudgetPriceSense_gamma0.1,90,17,900,0.672222,0.629683,0.908889
LastObservation,VoIBudgetPriceSense_gamma0.1,90,18,900,0.623333,0.598085,0.901111
LastObservation,VoIBudgetPriceSense_gamma0.1,90,19,900,0.746667,0.71941,0.811111
LastObservation,VoIBudgetPriceSense_gamma0.1,90,20,900,0.832222,0.783298,0.404444
