belief,policy,budget,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,forced_answer_rate,median_ess
PerpetuaStar,VoIThresholdSense_lambda0.01,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.01),10,22500,0.595511,0.580081,0.266667,24.0,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.01,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.01),10,22500,0.6984,0.659723,0.980356,88.232,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.01,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.01),10,22500,0.757289,0.701989,1.309289,117.836,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.02,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.02),10,22500,0.598444,0.58286,0.266667,24.0,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.02,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.02),10,22500,0.709378,0.666878,0.957289,86.156,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.02,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.02),10,22500,0.750178,0.696353,1.170667,105.36,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.05,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.610444,0.589338,0.266667,24.0,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.05,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.718711,0.670902,0.840978,75.688,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.05,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.05),10,22500,0.733244,0.681925,0.915778,82.42,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.1,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.1),10,22500,0.613111,0.592642,0.266667,24.0,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.1,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.1),10,22500,0.7104,0.662517,0.649156,58.424,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.1,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.1),10,22500,0.712311,0.664048,0.653911,58.852,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.2,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.630978,0.603089,0.261111,23.5,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.2,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.669333,0.630554,0.341022,30.692,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.2,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.2),10,22500,0.669333,0.630554,0.341022,30.692,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.3,24,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.3),10,22500,0.623333,0.594728,0.1608,14.472,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.3,90,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.3),10,22500,0.623156,0.594697,0.161244,14.512,0.0,
PerpetuaStar,VoIThresholdSense_lambda0.3,soft,"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",VoIThresholdSense(lambda=0.3),10,22500,0.623156,0.594697,0.161244,14.512,0.0,
