household_id,day_index,ess,correct,routine_correct
hh_012,8,3.1579,1,1
hh_012,8,3.1625,1,1
hh_012,8,3.1903,1,1
hh_012,8,3.2024,1,1
hh_012,8,3.2155,0,1
hh_012,8,3.2359,1,1
hh_012,8,3.2516,1,1
hh_012,8,3.2701,1,1
hh_012,8,3.2949,1,1
hh_012,8,5.9768,1,1
hh_012,8,5.9947,1,1
hh_012,8,6.0,1,1
hh_012,8,6.0122,1,1
hh_012,8,6.0131,1,1
hh_012,8,6.0903,1,1
hh_012,8,6.1862,1,0
hh_012,8,6.1903,1,1
hh_012,8,6.2047,1,1
hh_012,8,6.2571,1,1
hh_012,8,6.2852,1,1
hh_012,8,6.293,1,1
hh_012,8,6.3033,1,1
hh_012,8,6.3387,0,1
hh_012,8,6.365,1,1
hh_012,8,6.3745,1,1
hh_012,8,6.3871,1,1
hh_012,8,6.4174,1,1
hh_012,8,6.4213,1,1
hh_012,8,7.2455,1,1
hh_012,8,7.4208,1,1
hh_012,8,7.4891,1,1
hh_012,8,7.5734,1,1
hh_012,8,7.6298,1,1
hh_012,8,7.6756,1,1
hh_012,8,7.6936,0,0
hh_012,8,7.6981,1,1
hh_012,8,7.7249,1,1
hh_012,8,7.7333,1,1
hh_012,8,7.7895,0,1
hh_012,8,7.7935,1,1
hh_012,8,7.808,1,1
hh_012,8,4.3678,1,1
hh_012,8,4.4117,1,1
hh_012,8,4.4751,1,1
hh_012,8,4.5387,1,1
hh_012,8,4.6107,1,0
hh_012,8,4.6218,1,0
hh_012,8,4.65,0,0
hh_012,8,5.2819,1,0
hh_012,8,5.2837,1,1
hh_012,8,5.3106,0,1
hh_012,8,5.3312,1,1
hh_012,8,5.3358,0,0
hh_012,8,5.3445,1,1
hh_012,8,5.3471,0,0
hh_012,8,5.3478,1,1
hh_012,8,5.3687,1,1
hh_012,8,5.3733,1,1
hh_012,8,5.3771,0,0
hh_012,8,5.384,0,1
hh_012,8,5.3849,1,1
hh_012,9,5.897,0,1
hh_012,9,5.9075,0,0
hh_012,9,5.9215,1,1
hh_012,9,5.9482,0,0
hh_012,9,6.0012,0,0
hh_012,9,6.0234,1,1
hh_012,9,2.266,1,1
hh_012,9,2.2673,1,0
hh_012,9,2.2674,0,0
hh_012,9,2.2796,1,1
hh_012,9,2.2835,1,1
hh_012,9,2.2839,0,0
hh_012,9,2.2842,1,1
hh_012,9,2.2844,0,0
hh_012,9,2.2848,1,1
hh_012,9,2.2868,1,1
hh_012,9,2.3198,1,1
hh_012,9,2.3381,1,1
hh_012,9,2.3459,1,1
hh_012,9,2.3714,1,1
hh_012,9,2.4022,0,1
hh_012,9,2.404,0,0
hh_012,9,2.6329,0,0
hh_012,9,2.6538,0,1
hh_012,9,2.6762,1,0
hh_012,9,2.6982,1,1
hh_012,9,2.7588,1,1
hh_012,9,2.7611,1,1
hh_012,9,2.779,0,0
hh_012,9,2.7819,0,0
hh_012,9,2.7969,1,0
hh_012,9,2.8157,1,1
hh_012,9,2.8217,0,0
