belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global,budget,sweep
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.5844,0.561422,0.266667,24.0,0.0,24,0.999762,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.584089,0.559868,0.266667,24.0,0.0,24,0.999373,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.585911,0.562153,0.266667,24.0,0.0,24,0.999373,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.582756,0.559048,0.266667,24.0,0.0,24,0.999247,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.585022,0.559675,0.266667,24.0,0.0,24,0.999247,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.582622,0.558354,0.266667,24.0,0.0,24,0.998084,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.5852,0.559029,0.266667,24.0,0.0,24,0.998084,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.579156,0.555556,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.581333,0.553537,0.265422,23.888,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.556889,0.53507,0.103156,9.284,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.574622,0.549152,0.261822,23.564,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.578533,0.544846,0.253733,22.836,0.0,24,0.214867,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.572933,0.545468,0.266267,23.964,0.0,24,0.214867,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.2,global)",resolvable,0.2,0.2,,,10,22500,0.5844,0.557477,0.266667,24.0,0.0,24,0.998084,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.4,global)",resolvable,0.2,0.4,,,10,22500,0.584133,0.55854,0.266667,24.0,0.0,24,0.998084,24,budget24
