household,protocol,method,perm,n_days,draw,accuracy,accuracy_moved_only
B,E1,modal,0,32,,0.924969987995198,
B,E1,frequency,0,32,,0.9441776710684273,
B,E1,markov,0,32,,0.9376950780312124,
B,E1,pooled,0,32,,0.9436974789915966,
B,E1,fremen,0,32,,0.9433373349339735,
B,E2,fallback,0,32,0,0.961764705882353,0.0
B,E2,pooled,0,32,0,0.5,0.0
B,E2,fallback,0,32,1,0.9294117647058824,0.0
B,E2,pooled,0,32,1,0.9294117647058824,0.0
B,E2,fallback,0,32,2,0.9323529411764706,0.0
B,E2,pooled,0,32,2,0.9323529411764706,0.0
B,E2,fallback,0,32,3,0.9,0.0
B,E2,pooled,0,32,3,0.9,0.0
B,E2,fallback,0,32,4,0.75,0.0
B,E2,pooled,0,32,4,0.5,0.0
B,E1,persistence,0,48,,0.897719087635054,
B,E1,modal,0,48,,0.924969987995198,
B,E1,frequency,0,48,,0.9441776710684273,
B,E1,markov,0,48,,0.9384153661464586,
B,E1,pooled,0,48,,0.9436974789915966,
B,E1,fremen,0,48,,0.9454981992797119,
B,E2,fallback,0,48,0,0.961764705882353,0.0
B,E2,pooled,0,48,0,0.5,0.0
B,E2,fallback,0,48,1,0.9294117647058824,0.0
B,E2,pooled,0,48,1,0.9294117647058824,0.0
B,E2,fallback,0,48,2,0.9323529411764706,0.0
B,E2,pooled,0,48,2,0.9323529411764706,0.0
B,E2,fallback,0,48,3,0.9,0.0
B,E2,pooled,0,48,3,0.9,0.0
B,E2,fallback,0,48,4,0.75,0.0
B,E2,pooled,0,48,4,0.5,0.0
B,E1,persistence,0,65,,0.897719087635054,
B,E1,modal,0,65,,0.924969987995198,
B,E1,frequency,0,65,,0.9441776710684273,
B,E1,markov,0,65,,0.9384153661464586,
B,E1,pooled,0,65,,0.9434573829531813,
B,E1,fremen,0,65,,0.9444177671068428,
B,E2,fallback,0,65,0,0.961764705882353,0.0
B,E2,pooled,0,65,0,0.5,0.0
B,E2,fallback,0,65,1,0.9294117647058824,0.0
B,E2,pooled,0,65,1,0.9294117647058824,0.0
B,E2,fallback,0,65,2,0.9323529411764706,0.0
B,E2,pooled,0,65,2,0.9323529411764706,0.0
B,E2,fallback,0,65,3,0.9,0.0
B,E2,pooled,0,65,3,0.9,0.0
B,E2,fallback,0,65,4,0.75,0.0
B,E2,pooled,0,65,4,0.5,0.0
B,E1,persistence,1,1,,0.897719087635054,
B,E1,modal,1,1,,0.924969987995198,
B,E1,frequency,1,1,,0.9331332533013206,
B,E1,markov,1,1,,0.9328931572629051,
B,E1,pooled,1,1,,0.8181272509003601,
B,E1,fremen,1,1,,0.9382953181272509,
B,E2,fallback,1,1,0,0.961764705882353,0.0
B,E2,pooled,1,1,0,0.5,0.0
B,E2,fallback,1,1,1,0.9294117647058824,0.0
B,E2,pooled,1,1,1,0.4323529411764706,0.0
B,E2,fallback,1,1,2,0.9323529411764706,0.0
B,E2,pooled,1,1,2,0.9323529411764706,0.0
B,E2,fallback,1,1,3,0.9,0.0
B,E2,pooled,1,1,3,0.9,0.0
B,E2,fallback,1,1,4,0.75,0.0
B,E2,pooled,1,1,4,0.0,0.0
B,E1,persistence,1,2,,0.8773109243697479,
B,E1,modal,1,2,,0.924969987995198,
B,E1,frequency,1,2,,0.9348139255702281,
B,E1,markov,1,2,,0.9328931572629051,
B,E1,pooled,1,2,,0.9308523409363746,
B,E1,fremen,1,2,,0.934453781512605,
B,E2,fallback,1,2,0,0.961764705882353,0.0
B,E2,pooled,1,2,0,0.5,0.0
B,E2,fallback,1,2,1,0.9294117647058824,0.0
B,E2,pooled,1,2,1,0.9294117647058824,0.0
B,E2,fallback,1,2,2,0.9323529411764706,0.0
B,E2,pooled,1,2,2,0.9323529411764706,0.0
B,E2,fallback,1,2,3,0.9,0.0
B,E2,pooled,1,2,3,0.9,0.0
B,E2,fallback,1,2,4,0.75,0.0
B,E2,pooled,1,2,4,0.20588235294117646,0.0
